id;ubicacion;municipio_id;municipio;provincia;departamento
1301;;SGO900;Alhuampa;Santiago del Estero;Moreno
1276;;SFE038;Cacique Ariacaiquín;Santa Fe;San Javier
1093;;SFE243;Presidente Roca;Santa Fe;Castellanos
1079;;SAL041;Pichanal;Salta;Oran
604;Dependencia Municipal;CBA277;Pampayasta Sud;Córdoba;Tercero Arriba
954;PD Valeria del Mar;BUE097;Pinamar;Buenos Aires;Pinamar
214;Punto Digital;BUE097;Pinamar;Buenos Aires;Pinamar
731;San Carlos (La Consulta);MZA013;San Carlos;Mendoza;San Carlos
931;Punto Digital;MZA013;San Carlos;Mendoza;San Carlos
576;San Carlos (Pza Salud);MZA013;San Carlos;Mendoza;San Carlos
732;San Carlos (Pza San Carlos);MZA013;San Carlos;Mendoza;San Carlos
1011;Pasaje Rural 3 Esquinas;MZA013;San Carlos;Mendoza;San Carlos
674;Pareditas;MZA013;San Carlos;Mendoza;San Carlos
792;San Carlos(Rio Tunuyan);MZA013;San Carlos;Mendoza;San Carlos
660;Comuna;CHU008;Colan Conhué;Chubut;Languiñeo
334;;COR019;Garruchos;Corrientes;Santo Tome
306;;CHA024;General Pinedo;Chaco;Doce de Octubre
1268;Plaza Meson de Fierro;CHA024;General Pinedo;Chaco;Doce de Octubre
1021;Punto Digital;SAL049;San Antonio de los Cobres;Salta;Los Andes
1140;;LAP029;General Pico;La Pampa;Maraco
1077;;SAL054;Seclantás;Salta;Molinos
927;Punto Digital;MIS069;San Vicente;Misiones;Guarani
231;Baradero Plaza Colon;BUE010;Baradero;Buenos Aires;Baradero
945;PD Baradero;BUE010;Baradero;Buenos Aires;Baradero
1290;;SFE115;Esteban Rams;Santa Fe;Nueve de Julio
1209;;SFE266;Rufino;Santa Fe;General Lopez
201;Rufino - Municipalidad;SFE266;Rufino;Santa Fe;General Lopez
202;Rufino - Plaza Sarmiento;SFE266;Rufino;Santa Fe;General Lopez
522;;BUE066;La Plata;Buenos Aires;La Plata
520;Republica de los Niños;BUE066;La Plata;Buenos Aires;La Plata
523;;BUE066;La Plata;Buenos Aires;La Plata
521;;BUE066;La Plata;Buenos Aires;La Plata
519;Punto Digital;BUE066;La Plata;Buenos Aires;La Plata
50;Punto Digital;BUE066;La Plata;Buenos Aires;La Plata
49;48 y 7;BUE066;La Plata;Buenos Aires;La Plata
882;;BUE089;Nueve de Julio;Buenos Aires;Nueve de Julio
416;Plaza Esc Comer;BUE089;Nueve de Julio;Buenos Aires;Nueve de Julio
419;Plaza España;BUE089;Nueve de Julio;Buenos Aires;Nueve de Julio
883;;BUE089;Nueve de Julio;Buenos Aires;Nueve de Julio
417;Parque GraSM.;BUE089;Nueve de Julio;Buenos Aires;Nueve de Julio
881;;BUE089;Nueve de Julio;Buenos Aires;Nueve de Julio
357;Plaza Municipio;BUE089;Nueve de Julio;Buenos Aires;Nueve de Julio
418;Plaza;BUE089;Nueve de Julio;Buenos Aires;Nueve de Julio
612;;CBA415;Villa Quillinzo;Córdoba;Calamuchita
1181;;CHA059;Quitilipi;Chaco;Quitilipi
311;;CHA059;Quitilipi;Chaco;Quitilipi
1132;;CHA059;Quitilipi;Chaco;Quitilipi
294;;RNO021;Ingeniero Luis A. Huergo;Río Negro;General Roca
666;Sede Comunal;CHU028;Lagunita Salada;Chubut;Gastre
783;;SJU017;Valle Fértil;San Juan;Valle Fertil
856;;SJU017;Valle Fértil;San Juan;Valle Fertil
725;Municipalidad;LRJ017;Sanagasta;La Rioja;Sanagasta
1060;;BUE031;Coronel Pringles;Buenos Aires;Coronel Pringles
235;Cnel Pringles PD;BUE031;Coronel Pringles;Buenos Aires;Coronel Pringles
620;Municipalidad;BUE031;Coronel Pringles;Buenos Aires;Coronel Pringles
484;Hospital Municipal;BUE031;Coronel Pringles;Buenos Aires;Coronel Pringles
621;Esc N°7;BUE031;Coronel Pringles;Buenos Aires;Coronel Pringles
619;Municipalidad;BUE031;Coronel Pringles;Buenos Aires;Coronel Pringles
962;Centro de Informacion Turistica;SCR018;El Chaltén;Santa Cruz;Lago Argentino
1295;;SCR018;El Chaltén;Santa Cruz;Lago Argentino
969;Plaza Santa Teresita;BUE064;La Costa;Buenos Aires;La Costa
985;Las Toninas;BUE064;La Costa;Buenos Aires;La Costa
983;Mar deTuyu;BUE064;La Costa;Buenos Aires;La Costa
984;San Clemente deTuyu;BUE064;La Costa;Buenos Aires;La Costa
31;Costanera y 3;BUE064;La Costa;Buenos Aires;La Costa
35;Santa Teresita;BUE064;La Costa;Buenos Aires;La Costa
516;Ing. Maschwitz;BUE036;Escobar;Buenos Aires;Escobar
1184;;BUE036;Escobar;Buenos Aires;Escobar
515;Plaza San Martin;BUE036;Escobar;Buenos Aires;Escobar
1043;;SFE199;Los Laureles;Santa Fe;General Obligado
953;Punto Digital;BUE096;Pilar;Buenos Aires;Pilar
76;Plaza 12 de Octubre;BUE096;Pilar;Buenos Aires;Pilar
1232;;CBA218;Leones;Córdoba;Marcos Juarez
110;Plaza 25 de mayo;CBA218;Leones;Córdoba;Marcos Juarez
247;Olavarria PD;BUE090;Olavarría;Buenos Aires;Olavarria
1156;;BUE090;Olavarría;Buenos Aires;Olavarria
69;NIDO;BUE090;Olavarría;Buenos Aires;Olavarria
70;Parque Mitre;BUE090;Olavarría;Buenos Aires;Olavarria
1131;;CHA043;Machagai;Chaco;Veinticinco de Mayo
662;Puesto de Información Turistica;CHU043;Trevelin;Chubut;Futaleufu
676;Municipalidad;JUJ020;El Talar;Jujuy;Santa Barbara
255;PD Basavilbaso;ERI005;Basavilbaso;Entre Ríos;Uruguay
132;Polideportivo;ERI005;Basavilbaso;Entre Ríos;Uruguay
131;Museo Ferrocarril;ERI005;Basavilbaso;Entre Ríos;Uruguay
133;Pza San Martin;ERI005;Basavilbaso;Entre Ríos;Uruguay
1070;;RNO037;Viedma;Río Negro;Adolfo Alsina
533;Viedma - Parque de Juegos;RNO037;Viedma;Río Negro;Adolfo Alsina
1133;;RNO037;Viedma;Río Negro;Adolfo Alsina
269;PD Viedma;RNO037;Viedma;Río Negro;Adolfo Alsina
907;;RNO037;Viedma;Río Negro;Adolfo Alsina
1134;;RNO037;Viedma;Río Negro;Adolfo Alsina
532;Viedma - Centro Cultural;RNO037;Viedma;Río Negro;Adolfo Alsina
1186;;TUC012;Banda del Río Salí;Tucumán;Cruz Alta
1138;;TUC012;Banda del Río Salí;Tucumán;Cruz Alta
1150;;MIS059;Puerto Iguazú;Misiones;Iguazu
1153;;MIS059;Puerto Iguazú;Misiones;Iguazu
956;Punto Digital;MIS059;Puerto Iguazú;Misiones;Iguazu
